zip,count,city,state,latitude,longitude
11002,1,Floral Park,NY,40.754757,-73.601772
11003,6,Elmont,NY,40.700529,-73.70223
11004,224,Glen Oaks,NY,40.742944,-73.70956
11005,1,Floral Park,NY,40.756983,-73.7148
11010,3,Franklin Square,NY,40.701702,-73.67562
11020,1,Great Neck,NY,40.771082,-73.71819
11021,2,Great Neck,NY,40.787068,-73.72577
11023,2,Great Neck,NY,40.798839,-73.73352
11024,2,Great Neck,NY,40.812887,-73.74094
11030,1,Manhasset,NY,40.796752,-73.68935
11040,31,New Hyde Park,NY,40.742901,-73.67895
11050,3,Port Washington,NY,40.833246,-73.69309
11096,2,Inwood,NY,40.618206,-73.74762
11101,659,Long Island City,NY,40.745341,-73.93907
11102,484,Astoria,NY,40.771286,-73.92462
11103,377,Astoria,NY,40.762968,-73.91091
11104,412,Sunnyside,NY,40.743796,-73.91949
11105,554,Astoria,NY,40.774686,-73.90816
11106,537,Astoria,NY,40.762012,-73.93147
11109,221,Long Island City,NY,40.651378,-73.870779
11201,1800,Brooklyn,NY,40.695286,-73.98907
11202,3,Brooklyn,NY,40.645099,-73.945032
11203,287,Brooklyn,NY,40.649059,-73.93304
11204,488,Brooklyn,NY,40.618944,-73.98473
11205,589,Brooklyn,NY,40.694214,-73.96529
11206,929,Brooklyn,NY,40.702348,-73.94288
11207,584,Brooklyn,NY,40.670874,-73.89424
11208,586,Brooklyn,NY,40.672666,-73.87248
11209,1331,Brooklyn,NY,40.62327,-74.0295
11210,265,Brooklyn,NY,40.627946,-73.94552
11211,1007,Brooklyn,NY,40.71209,-73.95427
11212,344,Brooklyn,NY,40.662191,-73.91328
11213,320,Brooklyn,NY,40.670937,-73.93459
11214,833,Brooklyn,NY,40.598994,-73.99611
11215,1785,Brooklyn,NY,40.667508,-73.9856
11216,551,Brooklyn,NY,40.680398,-73.94824
11217,866,Brooklyn,NY,40.68209,-73.97783
11218,910,Brooklyn,NY,40.644552,-73.97595
11219,269,Brooklyn,NY,40.632449,-73.99629
11220,764,Brooklyn,NY,40.641436,-74.01574
11221,824,Brooklyn,NY,40.691234,-73.92637
11222,760,Brooklyn,NY,40.726302,-73.94559
11223,604,Brooklyn,NY,40.598142,-73.97229
11224,569,Brooklyn,NY,40.576589,-73.99172
11225,448,Brooklyn,NY,40.662892,-73.95509
11226,643,Brooklyn,NY,40.645256,-73.95553
11228,614,Brooklyn,NY,40.617563,-74.01168
11229,899,Brooklyn,NY,40.599256,-73.94118
11230,499,Brooklyn,NY,40.622994,-73.96427
11231,908,Brooklyn,NY,40.6788,-74.00254
11232,268,Brooklyn,NY,40.655481,-74.00424
11233,459,Brooklyn,NY,40.676938,-73.91858
11234,1145,Brooklyn,NY,40.618561,-73.9216
11235,825,Brooklyn,NY,40.583803,-73.95019
11236,528,Brooklyn,NY,40.640527,-73.90362
11237,536,Brooklyn,NY,40.703355,-73.91993
11238,940,Brooklyn,NY,40.680145,-73.96257
11239,198,Brooklyn,NY,40.645848,-73.87919
11242,1,Brooklyn,NY,40.645099,-73.945032
11243,7,Brooklyn,NY,40.645099,-73.945032
11249,456,Brooklyn,NY,40.645099,-73.945032
11352,1,Flushing,NY,40.651378,-73.870779
11354,379,Flushing,NY,40.767969,-73.82496
11355,452,Flushing,NY,40.749463,-73.81941
11356,288,College Point,NY,40.785462,-73.84366
11357,646,Whitestone,NY,40.784453,-73.80922
11358,501,Flushing,NY,40.760522,-73.79612
11360,244,Bayside,NY,40.780386,-73.78005
11361,500,Bayside,NY,40.763177,-73.77392
11362,188,Little Neck,NY,40.759686,-73.73322
11363,121,Little Neck,NY,40.772636,-73.74644
11364,480,Oakland Gardens,NY,40.746718,-73.75994
11365,482,Fresh Meadows,NY,40.738983,-73.79209
11366,187,Fresh Meadows,NY,40.726137,-73.79502
11367,342,Flushing,NY,40.728614,-73.82145
11368,413,Corona,NY,40.747106,-73.85838
11369,288,East Elmhurst,NY,40.762854,-73.87051
11370,295,East Elmhurst,NY,40.763015,-73.89052
11372,692,Jackson Heights,NY,40.750146,-73.88433
11373,649,Elmhurst,NY,40.736076,-73.87804
11374,463,Rego Park,NY,40.724945,-73.8609
11375,1019,Forest Hills,NY,40.720535,-73.84582
11377,856,Woodside,NY,40.742869,-73.90377
11378,623,Maspeth,NY,40.724096,-73.90271
11379,843,Middle Village,NY,40.716028,-73.87925
11385,1262,Ridgewood,NY,40.703069,-73.89285
11386,9,Ridgewood,NY,40.651378,-73.870779
11411,98,Cambria Heights,NY,40.693538,-73.73574
11412,187,Saint Albans,NY,40.697188,-73.75948
11413,178,Springfield Gardens,NY,40.670138,-73.75141
11414,454,Howard Beach,NY,40.658188,-73.84321
11415,282,Kew Gardens,NY,40.706903,-73.82973
11416,202,Ozone Park,NY,40.683301,-73.8503
11417,378,Ozone Park,NY,40.675534,-73.84476
11418,364,Richmond Hill,NY,40.698485,-73.83365
11419,233,South Richmond Hill,NY,40.688688,-73.82216
11420,281,South Ozone Park,NY,40.673138,-73.81443
11421,478,Woodhaven,NY,40.69087,-73.85828
11422,136,Rosedale,NY,40.662538,-73.73514
11423,161,Hollis,NY,40.714261,-73.76824
11425,1,Jamaica,NY,40.651378,-73.870779
11426,233,Bellerose,NY,40.732239,-73.72108
11427,172,Queens Village,NY,40.728235,-73.74782
11428,127,Queens Village,NY,40.719981,-73.74127
11429,125,Queens Village,NY,40.708833,-73.73903
11431,2,Jamaica,NY,40.686903,-73.850143
11432,298,Jamaica,NY,40.714144,-73.79324
11433,149,Jamaica,NY,40.696538,-73.78734
11434,291,Jamaica,NY,40.674888,-73.7727
11435,323,Jamaica,NY,40.700068,-73.80986
11436,109,Jamaica,NY,40.674146,-73.79687
11501,1,Mineola,NY,40.747188,-73.63808
11509,1,Atlantic Beach,NY,40.589538,-73.72915
11516,3,Cedarhurst,NY,40.627386,-73.72852
11518,2,East Rockaway,NY,40.639575,-73.66703
11520,2,Freeport,NY,40.653935,-73.587
11545,1,Glen Head,NY,40.823957,-73.60415
11548,1,Greenvale,NY,40.813187,-73.62561
11550,2,Hempstead,NY,40.702271,-73.61741
11552,1,West Hempstead,NY,40.6949,-73.65394
11553,1,Uniondale,NY,40.703502,-73.59306
11563,2,Lynbrook,NY,40.656974,-73.67306
11569,1,Point Lookout,NY,40.593996,-73.58039
11580,6,Valley Stream,NY,40.673,-73.70346
11581,2,Valley Stream,NY,40.651733,-73.71079
11590,1,Westbury,NY,40.756287,-73.57536
11690,5,Far Rockaway,NY,40.651378,-73.870779
11691,249,Far Rockaway,NY,40.60002,-73.75962
11692,153,Arverne,NY,40.592939,-73.79568
11693,247,Far Rockaway,NY,40.596959,-73.81978
11694,317,Rockaway Park,NY,40.57649,-73.84721
11697,55,Breezy Point,NY,40.560167,-73.90891
11704,1,West Babylon,NY,40.719249,-73.35829
11706,1,Bay Shore,NY,40.729098,-73.25607
11713,1,Bellport,NY,40.771447,-72.94663
11714,1,Bethpage,NY,40.740662,-73.48631
11716,1,Bohemia,NY,40.770042,-73.11376
11721,1,Centerport,NY,40.890598,-73.37536
11726,1,Copiague,NY,40.680892,-73.39609
11731,1,East Northport,NY,40.865998,-73.31796
11743,1,Huntington,NY,40.867498,-73.41146
11746,2,Huntington Station,NY,40.821698,-73.37553
11753,1,Jericho,NY,40.786544,-73.53675
11758,3,Massapequa,NY,40.68085,-73.46289
11784,1,Selden,NY,40.869274,-73.04254
11791,1,Syosset,NY,40.815215,-73.50057
11933,1,Calverton,NY,40.933429,-72.74646
11944,2,Greenport,NY,41.103838,-72.36729
11967,1,Shirley,NY,40.794317,-72.87181
11973,1,Upton,NY,40.922326,-72.637078
11978,2,Westhampton Beach,NY,40.816142,-72.63449
12083,1,Greenville,NY,42.430684,-74.03728
12143,1,Ravena,NY,42.46915,-73.82956
12202,1,Albany,NY,42.640129,-73.76061
12237,1,Albany,NY,42.614852,-73.970812
12533,2,Hopewell Junction,NY,41.573253,-73.79347
12564,1,Pawling,NY,41.570328,-73.59825
13642,1,Gouverneur,NY,44.319897,-75.45537
14228,1,Buffalo,NY,43.023347,-78.79494
14420,1,Brockport,NY,43.214261,-77.93937
14432,2,Clifton Springs,NY,42.965372,-77.14416
